Week starting,App,Downloads,Install Base,Open Rate,Retention D1,Retention D7,Retention D30,Active Users,Total Minutes,Avg Sessions Per User,Avg Session Duration,Avg Time Per User,Avg Active Days              
4/8/2016,Seine,1047041,108072128,69.93%,59.35%,41.73%,36.47%,75580164,15096454024,122.7,00:01:34,03:19:44,5.01
4/15/2016,Seine,979329,107801010,70.01%,59.73%,41.11%,35.73%,75468975,15038793887,122.74,00:01:34,03:19:16,5
4/22/2016,Seine,915472,105453487,70.75%,60.13%,40.43%,34.93%,74606333,14405412352,128.16,00:01:27,03:13:05,5.03
4/29/2016,Seine,997093,103780736,74.09%,60.13%,40.43%,34.93%,76888230,15325837517,128.59,00:01:29,03:19:20,4.97
5/6/2016,Seine,1065732,104958685,71.52%,60.13%,40.43%,34.93%,75070858,13709060031,125.28,00:01:25,03:02:37,5.02
5/13/2016,Seine,1102845,105585953,71.84%,59.39%,41.80%,34.47%,75853213,15408624292,120.4,00:01:37,03:23:08,5
5/20/2016,Seine,1086686,105818886,71.05%,58.73%,43.02%,34.04%,75184207,15653678322,123.02,00:01:37,03:28:12,5.03
5/27/2016,Seine,1437532,106550864,71.03%,58.73%,43.02%,34.04%,75685269,14774020011,130.34,00:01:27,03:15:12,5.08
6/3/2016,Seine,1096148,106519459,70.68%,58.73%,43.02%,34.04%,75290894,14604600672,128.56,00:01:27,03:13:59,5.08
6/10/2016,Seine,1193481,107318019,71.10%,58.16%,42.50%,34.11%,76300776,16169279758,124.72,00:01:38,03:31:55,5.08
6/17/2016,Seine,1106764,107413493,70.80%,57.58%,41.97%,34.18%,76053576,16159407553,124.32,00:01:39,03:32:28,5.09
6/24/2016,Seine,1168041,107043659,71.12%,57.58%,41.97%,34.18%,76129132,16022338113,130.1,00:01:33,03:30:28,5.06
7/1/2016,Seine,1181544,107060413,71.65%,57.58%,41.97%,34.18%,76706634,15421287337,123.82,00:01:34,03:21:03,5.08
7/8/2016,Seine,1096446,106447408,70.85%,57.58%,41.97%,34.18%,75418010,14849831186,122.74,00:01:33,03:16:54,5.07
7/15/2016,Seine,984497,106468322,70.86%,56.58%,39.27%,32.99%,75446778,12999558260,128.51,00:01:19,02:52:18,5.1
7/22/2016,Seine,1085677,106907994,70.64%,55.62%,36.67%,31.85%,75515210,15049684428,122.7,00:01:34,03:19:18,5.1
7/29/2016,Seine,1135237,105588962,73.83%,55.62%,36.67%,31.85%,77960318,15528921447,121.23,00:01:35,03:19:11,5.02
8/5/2016,Seine,1173114,102631379,80.19%,55.62%,36.67%,31.85%,82299362,18619095035,127.66,00:01:41,03:46:14,4.98
8/12/2016,Seine,1162649,104255511,77.15%,56.23%,39.67%,31.78%,80437116,17414288284,131.75,00:01:35,03:36:30,5.07
8/19/2016,Seine,1168447,103247454,79.57%,56.86%,42.73%,31.70%,82150886,19185401248,130.42,00:01:43,03:53:32,5.06
8/26/2016,Seine,1411806,106564076,74.02%,56.86%,42.73%,31.70%,78882835,15495559768,138.94,00:01:23,03:16:26,5.01
9/2/2016,Seine,1205642,103958621,82.94%,56.86%,42.73%,31.70%,86219428,17839998963,130.15,00:01:32,03:26:55,5.03
9/9/2016,Seine,1103619,107181804,74.37%,58.87%,40.86%,30.41%,79712315,15233888116,129.15,00:01:26,03:11:07,4.99
9/16/2016,Seine,1198854,103941737,81.05%,60.82%,39.06%,29.17%,84249137,16123162477,128.3,00:01:27,03:11:22,4.95
9/23/2016,Seine,1173055,106493608,73.07%,60.82%,39.06%,29.17%,77810091,15554900589,131.31,00:01:29,03:19:55,5.02
9/30/2016,Seine,1150748,106406076,72.69%,60.82%,39.06%,29.17%,77341551,16141348059,136.14,00:01:29,03:28:42,5.01
10/7/2016,Seine,1105887,106079392,72.42%,60.82%,39.06%,29.17%,76822790,15688609690,133.6,00:01:29,03:24:13,5.03
10/14/2016,Seine,1009826,107112389,72.18%,60.73%,41.49%,34.53%,77311101,15596562872,134.77,00:01:27,03:21:44,5.06
10/21/2016,Seine,1044353,106900696,72.09%,60.65%,43.92%,39.91%,77066923,15452188809,135.1,00:01:27,03:20:30,5.03
10/28/2016,Seine,1033688,106626781,72.32%,60.65%,43.92%,39.91%,77111952,15155749949,134.26,00:01:26,03:16:33,5.06
11/4/2016,Seine,924520,105685994,72.59%,60.65%,43.92%,39.91%,76718588,14868829457,133.85,00:01:25,03:13:49,5.09
11/11/2016,Seine,839661,107595211,71.52%,60.78%,44.59%,39.91%,76950245,14745215091,131.61,00:01:25,03:11:37,5.08
11/18/2016,Seine,779845,106616729,73.03%,60.92%,45.29%,n/a,77860205,14644784170,129.82,00:01:25,03:08:05,5.06
11/25/2016,Seine,965179,106870388,72.06%,60.92%,45.29%,n/a,77009121,14312733582,129.06,00:01:25,03:05:51,5.13
12/2/2016,Seine,960619,106716800,71.98%,60.92%,45.29%,n/a,76817551,14718947838,130.22,00:01:26,03:11:37,5.15
12/9/2016,Seine,998092,106211981,71.13%,60.92%,45.29%,n/a,75545149,14388235191,128.98,00:01:27,03:10:28,5.13
